name,category,sub_category,website,description,february,april,may,average_time_on_website,may_normalized,change_normalized,average_time_normalized,tts,popularity,growth,engagement
Klaviyo SMS Assistant,Marketing,Sales,https://klaviyo.com,"boost ecommerce revenue with klaviyo, a marketing automation platform for email and sms with a built-in cdp at no added cost. get higher roi. no risk.",5010697.000,5193572.000,4934029.000,738.445,0.912,0.534,0.990,9.054,9.120,5.340,9.900
Copilot,Coding,Code Assistant,https://github.com/features/copilot,"github is where over 100 million developers shape the future of software, together. contribute to the open source community, manage your git repositories, review code like a pro, track bugs and features, power your ci/cd and devops workflows, and secure code before you commit it.",523750679.000,458129293.000,442283629.000,449.717,0.990,0.366,0.930,9.036,9.900,3.660,9.300
AI CLI,Coding,Code Assistant,https://github.com/abhagsain,"github is where over 100 million developers shape the future of software, together. contribute to the open source community, manage your git repositories, review code like a pro, track bugs and features, power your ci/cd and devops workflows, and secure code before you commit it.",523750679.000,458129293.000,442283629.000,449.717,0.990,0.366,0.930,9.036,9.900,3.660,9.300
Shumai (Meta),Coding,Developer Tools,https://github.com,"github is where over 100 million developers shape the future of software, together. contribute to the open source community, manage your git repositories, review code like a pro, track bugs and features, power your ci/cd and devops workflows, and secure code before you commit it.",523750679.000,458129293.000,442283629.000,449.717,0.990,0.366,0.930,9.036,9.900,3.660,9.300
Whisper,Productivity,Text To Speech,https://github.com,"github is where over 100 million developers shape the future of software, together. contribute to the open source community, manage your git repositories, review code like a pro, track bugs and features, power your ci/cd and devops workflows, and secure code before you commit it.",523750679.000,458129293.000,442283629.000,449.717,0.990,0.366,0.930,9.036,9.900,3.660,9.300
Replicate,Coding,Low-code/no-code,https://replicate.com,run open-source machine learning models with a cloud api,5638463.000,6274809.000,11544201.000,301.002,0.952,0.902,0.837,9.010,9.520,9.020,8.370
Quillbot Paraphraser,Coding,Paraphraser,https://quillbot.com/,"quillbot's paraphrasing tool is trusted by millions worldwide to rewrite sentences, paragraphs, or articles using state-of-the-art ai.",78517516.000,68846506.000,75411512.000,381.506,0.975,0.502,0.900,8.977,9.750,5.020,9.000
Vidyo.ai,Content Creation,Video Editing,https://vidyo.ai,"our ai platform helps you convert long form podcasts and videos automatically into shorter shareable clips for tiktok, reels and shorts. no cc required.",585424.000,887248.000,1887181.000,487.521,0.839,0.957,0.954,8.968,8.390,9.570,9.540
Lexica,Design,Art,https://lexica.art,the stable diffusion search engine,6621773.000,7153304.000,6514141.000,466.939,0.932,0.531,0.942,8.959,9.320,5.310,9.420
Remove.bg,Content Creation,Image Editing,https://remove.bg,remove image backgrounds automatically in 5 seconds with just one click. don't spend hours manually picking pixels. upload your photo now & see the magic.,54015418.000,50105131.000,56385665.000,337.822,0.972,0.574,0.881,8.958,9.720,5.740,8.810
Getimg.ai,Design,Image Generator,https://getimg.ai,"magical ai art tools. generate original images, modify existing ones, expand pictures beyond its original borders, and more.",869088.000,1533494.000,2183153.000,438.205,0.854,0.925,0.924,8.891,8.540,9.250,9.240
NightCafe Studio,Design,Art,https://creator.nightcafe.studio,ai art generator app. &#9989; fast &#9989; free &#9989; easy. create amazing artworks using artificial intelligence.,10720570.000,10606035.000,9871716.000,412.606,0.947,0.458,0.922,8.881,9.470,4.580,9.220
AI Time Machine,Design,Avatars,https://www.myheritage.com/ai-time-machine,create your family tree. take a myheritage dna test for ancestry and genetic testing. access 19.4 billion historical records for genealogy research.,13085583.000,12132224.000,12671206.000,367.210,0.954,0.511,0.899,8.877,9.540,5.110,8.990
Namecheap Logo Maker,Design,Logo Generator,https://namecheap.com,"register domain names at namecheap. buy cheap domain names and enjoy 24/7 support. with over 16 million domains under management, you know you’re in good hands.",10323552.000,9084471.000,9739885.000,397.017,0.944,0.486,0.917,8.874,9.440,4.860,9.170
Mage,Design,Art,https://www.mage.space,"mage: free, fast, unfiltered stable diffusion. generate anything you can imagine. yes anything! using state-of-the-art a.i., effortlessly generate images no one has ever seen.",3173165.000,3148882.000,3158973.000,707.192,0.876,0.544,0.987,8.872,8.760,5.440,9.870
WolframAlpha,Customer Support,Education Assistant,https://wolframalpha.com,"compute answers using wolfram's breakthrough technology & knowledgebase, relied on by millions of students & professionals. for math, science, nutrition, history, geography, engineering, mathematics, linguistics, sports, finance, music…",11175369.000,10898683.000,11518619.000,338.605,0.950,0.569,0.886,8.863,9.500,5.690,8.860
Midjourney,Design,Art,https://www.midjourney.com/home/,an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.,41363931.000,42749055.000,35461346.000,386.164,0.968,0.388,0.905,8.848,9.680,3.880,9.050
DallE-2,Design,Image Generator,https://openai.com,"introducing gpt-4, openai’s most advanced system",1638693204.000,1820920056.000,1861166598.000,272.588,1.000,0.654,0.798,8.846,10.000,6.540,7.980
Fliki,Content Creation,Video Generator,https://fliki.ai,create text to video and text to speech content with ai powered voices in minutes. get started today and create videos and voiceovers with life-like ai voices!,1819039.000,2879630.000,4595618.000,319.403,0.904,0.928,0.849,8.844,9.040,9.280,8.490
NovelAI,Content Creation,Story Teller,https://novelai.net,"gpt-powered ai storyteller. driven by ai, construct unique stories, thrilling tales, seductive romances, or just fool around. anything goes!",6007167.000,5615111.000,4772916.000,973.377,0.905,0.319,0.997,8.832,9.050,3.190,9.970
Elicit,Industry-specific,Research,https://elicit.org,"elicit uses machine learning to help you with your research: find papers, extract key claims, summarize, brainstorm ideas, and more.",1405181.000,1400312.000,1955842.000,503.496,0.841,0.775,0.959,8.816,8.410,7.750,9.590
Playground AI,Design,Art,https://playgroundai.com,"playground ai is a free-to-use online ai image creator. use it to create art, social media posts, presentations, posters, videos, logos and more.",7688976.000,6506284.000,6359317.000,501.761,0.927,0.346,0.957,8.809,9.270,3.460,9.570
Photoroom,Content Creation,Image Editing,https://photoroom.com,"create product and portrait pictures using only your phone. remove background, change background and showcase products.",5064473.000,5598717.000,6364638.000,314.231,0.929,0.739,0.846,8.768,9.290,7.390,8.460
FakeYou,Productivity,Text To Speech,https://fakeyou.com,fakeyou is a text to speech wonderland where all of your dreams come true.,3453942.000,3435634.000,4206889.000,361.064,0.892,0.719,0.896,8.763,8.920,7.190,8.960
AIDungeon,Entertainment,Gaming,https://play.aidungeon.io,"ai dungeon, an infinitely generated text adventure powered by deep learning",1966630.000,2135336.000,2057921.000,680.694,0.849,0.579,0.982,8.752,8.490,5.790,9.820
Durable,Industry-specific,Startup,https://durable.co,"durable is the easiest way to start and grow a business online. ai website builder, marketing tools, invoicing. run your business with one simple app.",1653988.000,2109583.000,2612208.000,346.391,0.864,0.837,0.887,8.705,8.640,8.370,8.870
You,Customer Support,Search Engine,https://you.com,the private search engine that summarizes the web for you,17504505.000,16503514.000,18410405.000,292.407,0.959,0.587,0.821,8.666,9.590,5.870,8.210
Instantly,Marketing,Email Assistant,https://instantly.ai,"instantly helps you scale your outreach campaigns through unlimited email sending accounts, unlimited warmup, and smart ai.",1551881.000,1338996.000,1594148.000,612.454,0.828,0.562,0.975,8.602,8.280,5.620,9.750
CodeGeeX,Coding,Code Assistant,https://huggingface.co/spaces/THUDM/CodeGeeX,we’re on a journey to advance and democratize artificial intelligence through open source and open science.,19956719.000,24755320.000,24888566.000,247.658,0.962,0.730,0.763,8.592,9.620,7.300,7.630
Promptist,Marketing,Prompts,https://huggingface.co,we’re on a journey to advance and democratize artificial intelligence through open source and open science.,19956719.000,24755320.000,24888566.000,247.658,0.962,0.730,0.763,8.592,9.620,7.300,7.630
Consensus,Industry-specific,Research,https://consensus.app,consensus is a new search engine that uses ai to find you answers in scientific research. find out what the research says in seconds with consensus.,1007416.000,1568708.000,1612834.000,337.919,0.829,0.844,0.882,8.517,8.290,8.440,8.820
NeevaAI,Customer Support,Search Engine,https://neeva.com,"did you know 40% of search results are ads? created by ex-google execs, neeva only shows you real results. no ads or affiliate links ever.",5142711.000,4820947.000,4231074.000,438.321,0.894,0.343,0.925,8.513,8.940,3.430,9.250
Adobe Podcast,Content Creation,Audio Editing,https://podcast.adobe.com,"next generation audio from adobe is here. record, transcribe, edit, share. crisp and clear, every time.",6128056.000,5950037.000,6078706.000,300.215,0.924,0.541,0.834,8.497,9.240,5.410,8.340
PicSo,Design,Art,https://picso.ai,"picso is a text-to-image ai art generator app & online platform for creative digital art. free try and turn your ideas to nft art, oil painting and more.",136741.000,494638.000,1171601.000,331.226,0.799,0.992,0.876,8.491,7.990,9.920,8.760
Writesonic,Marketing,SEO,https://writesonic.com,"writesonic is an ai writer that creates seo-friendly content for blogs, facebook ads, google ads, and shopify for free. our paraphrasing tool lets you rephrase entire articles instantly.",11379960.000,10266757.000,10462924.000,290.480,0.949,0.449,0.818,8.466,9.490,4.490,8.180
TinyWow,Productivity,Life Assistant,https://tinywow.com,"The website provides a range of AI services including writing, PDF, image, and video tools. These tools can be used to create, edit, and convert documents and images, as well as to compress video files.",6300177.000,6329946.000,6619141.000,264.947,0.934,0.582,0.791,8.416,9.340,5.820,7.910
Vana Portrait,Design,Avatars,https://portrait.vana.com,“portrait” by vana is a generative art studio that can create self-portraits of you in infinite styles.,809683.000,2606987.000,913672.000,569.319,0.774,0.649,0.973,8.411,7.740,6.490,9.730
FlowGPT,Management,Resources,https://flowgpt.com,FlowGPT is a chatbot service that provides users with AI-generated prompts and responses. The service is designed to help users practice their conversational skills and improve their fluency in English.,454693.000,1349715.000,1522927.000,299.248,0.821,0.963,0.833,8.400,8.210,9.630,8.330
Pictory,Content Creation,Video Editing,https://pictory.ai,"pictory's powerful ai enables you to create and edit professional quality videos using text, no technical skills required or software to download.",3909034.000,3405080.000,3313649.000,386.784,0.877,0.378,0.907,8.391,8.770,3.780,9.070
Adobe Sensei,Productivity,Productivity,https://adobe.com,"adobe is changing the world through digital experiences. we help our customers create, deliver and optimize content and applications.",273614254.000,249081295.000,266467994.000,230.844,0.985,0.517,0.730,8.362,9.850,5.170,7.300
Openart,Design,Art,https://openart.ai,"unleash your creativity with ai image generators. discover 10m+ prompts, create and generate ai art and avatars via stable diffusion, dall·e 2.",3679552.000,4051531.000,4237371.000,275.230,0.896,0.666,0.801,8.350,8.960,6.660,8.010
Grammarly,Content Creation,General Writing,https://app.grammarly.com,millions trust grammarly’s free writing app to make their online writing clear and effective. getting started is simple — download grammarly’s extension today.,47035724.000,40675512.000,40578282.000,257.167,0.970,0.396,0.776,8.350,9.700,3.960,7.760
Copy.ai,Content Creation,Copywriting,www.copy.ai,"get great copy that sells. copy.ai is an ai-powered copywriter that generates high-quality copy for your business. get started for free, no credit card required! marketing simplified!",8102987.000,8415573.000,7215281.000,274.464,0.939,0.428,0.799,8.319,9.390,4.280,7.990
Inworld,Design,Avatars,https://www.inworld.ai,create more realistic and believable worlds with characters powered by artificial intelligence. inworld provides a platform for adding advanced npc behavior & unscripted dialogue to games and real-time media.,311752.000,659892.000,532694.000,523.959,0.716,0.864,0.964,8.300,7.160,8.640,9.640
Imgcreator,Design,Image Generator,https://imgcreator.zmo.ai,"The website provides an AI service that allows users to generate images from text. The service is powered by GPT-3, and allows users to create images from text descriptions, as well as to chat with the AI to create images.",892199.000,1578461.000,3389710.000,230.318,0.879,0.970,0.728,8.277,8.790,9.700,7.280
Dubverse,Content Creation,Video Editing,https://dubverse.ai,dubverse is an online video dubbing platform. dubverse uses artificial intelligence to dub video across 30 languages at a lightning fast speed,201601.000,638609.000,862852.000,328.027,0.766,0.975,0.867,8.273,7.660,9.750,8.670
unbounce,Content Creation,Copywriting,https://unbounce.com,"grow your relevance, leads, and sales with unbounce. use unbounce to easily create and optimize landing pages for your small business and boost conversions with ai insights.",1025820.000,1012925.000,1001145.000,469.162,0.786,0.522,0.947,8.240,7.860,5.220,9.470
Rytr,Content Creation,Copywriting,https://rytr.me/,"rytr is an ai writing assistant that helps you create high-quality content, in just a few seconds, at a fraction of the cost!",4832369.000,4092346.000,4976730.000,254.125,0.917,0.567,0.771,8.236,9.170,5.670,7.710
Otter AI,Content Creation,Summarizer,https://otter.ai,"otter.ai uses ai to write automatic meeting notes with real-time transcription, recorded audio, automated slide capture, and automated meeting summaries.",5607434.000,4712086.000,4820646.000,296.521,0.907,0.391,0.823,8.218,9.070,3.910,8.230
PromptHero,Customer Support,Search Engine,https://prompthero.com,"search the world's best ai prompts. explore millions of artificial intelligence generated images by models like dall-e, stable diffusion, midjourney...",3172804.000,3110630.000,2772751.000,321.056,0.867,0.409,0.856,8.168,8.670,4.090,8.560
10Web,Coding,Low-code/no-code,https://10web.io,"explore 10web's automated website builder, hosting, and pagespeed booster that automatically speeds up your websites and improves the core web vitals.",411516.000,852571.000,1424342.000,260.310,0.814,0.967,0.781,8.161,8.140,9.670,7.810
Roboflow,Coding,Low-code/no-code,https://roboflow.com,"with just a few dozen example images, you can train a working, state-of-the-art computer vision model in less than 24 hours.",613450.000,586841.000,640908.000,549.949,0.741,0.577,0.968,8.154,7.410,5.770,9.680
Artbreeder,Design,Art,https://www.artbreeder.com,The website provides a service that allows users to create new images by combining two existing images. The service uses a neural network to generate the new images.,1813018.000,2195316.000,1762505.000,325.831,0.834,0.516,0.866,8.150,8.340,5.160,8.660
Sudowrite,Content Creation,General Writing,https://sudowrite.com,bust writer's block and be more creative with our magical writing ai.,431784.000,557280.000,703820.000,335.575,0.748,0.850,0.877,8.098,7.480,8.500,8.770
Katteb,Marketing,SEO,https://katteb.com,"automate your copywriting needs with katteb ai, generate content in seconds with gpt-3 and j-jumbo.",335306.000,312048.000,396050.000,1277.084,0.683,0.691,0.998,8.098,6.830,6.910,9.980
Simplified,Content Creation,Copywriting,https://simplified.com/ai-writer,"simplified is the time saving, all in one app that your modern marketing team can use for collaboration. millions of free images, videos, and audio clips. thousands of designer templates. long and short-form content writing in 30+ languages. content calendar to schedule and publish posts to social media. free forever!",2786696.000,3103234.000,3614703.000,228.916,0.884,0.757,0.726,8.081,8.840,7.570,7.260
Personal.ai,Management,Memory,https://personal.ai,"personal ai supercharges human relationships with personal, ai-generated messaging, making it easy to stay connected to the people and ideas in your world.",367121.000,251494.000,448394.000,487.441,0.705,0.722,0.952,8.055,7.050,7.220,9.520
InVideo,Content Creation,Video Generator,https://invideo.io,"invideo's online video editor helps you make professional videos from premium templates, images, and music.",4430186.000,4100777.000,4482126.000,239.864,0.900,0.557,0.748,8.049,9.000,5.570,7.480
Scispace,Industry-specific,Research,https://typeset.io,"your platform to explore and explain papers. search for 270m+ papers, understand them in simple language, and find connected papers, authors, topics.",1450279.000,1686355.000,2134838.000,238.860,0.852,0.804,0.745,8.044,8.520,8.040,7.450
RunPod,Coding,Developer Tools,https://runpod.io,"save over 80% on gpus. gpu rental made easy with jupyter for tensorflow, pytorch or any other ai framework.",398184.000,499108.000,580677.000,337.968,0.730,0.799,0.884,7.985,7.300,7.990,8.840
AI Roguelite,Entertainment,Gaming,https://store.steampowered.com,"steam is the ultimate destination for playing, discussing, and creating games.",176294302.000,172299056.000,165019977.000,196.795,0.978,0.473,0.655,7.983,9.780,4.730,6.550
LanguageTool,Content Creation,General Writing,https://languagetool.org,"languagetool is a free online proofreading service for english, spanish, and 30 other languages. instantly check your text for grammar and style mistakes.",9919568.000,8733583.000,9766115.000,204.850,0.945,0.532,0.678,7.969,9.450,5.320,6.780
Imagine 3D,Design,3D,https://captures.lumalabs.ai,"The website provides an AI service that can be used to capture images from a variety of sources, including the internet, social media, and camera phone images. The service can be used to capture images from a variety of locations, including the United States, Canada, Europe, and Asia.",336729.000,479553.000,544603.000,330.546,0.725,0.847,0.874,7.968,7.250,8.470,8.740
Wordtune,Content Creation,General Writing,https://wordtune.com,"wordtune is the ultimate ai writing tool that rewrites, rephrases, and rewords your writing! trusted by over 1,000,000 users, wordtune strengthens articles, academic papers, essays, emails and any other online content.",14345843.000,11670657.000,8650764.000,248.610,0.942,0.180,0.768,7.962,9.420,1.800,7.680
PromptBase,Marketing,Prompts,https://promptbase.com,a marketplace for buying and selling quality gpt3 prompts,2015468.000,2053890.000,1510867.000,364.968,0.819,0.278,0.897,7.961,8.190,2.780,8.970
Speechify,Productivity,Text To Speech,https://speechify.com,"the leading text to speech app with millions of downloads on chrome, ios, & android. hear the internet on any device. try speechify for free today.",6466843.000,6806236.000,7400568.000,191.554,0.940,0.664,0.647,7.952,9.400,6.640,6.470
Neuronwriter,Marketing,SEO,https://neuronwriter.com,"Neuronwriter is an AI-based content optimization tool that helps you to plan, write and optimize your content for better ranking in Google. It uses natural language processing (NLP) to suggest relevant terms and phrases to cover the topic, as well as to provide recommendations for content structure and organization. Additionally, it has a content score feature that monitors key text parameters and overall text quality, to help you ensure that your content is optimized for SEO.",258420.000,362844.000,401979.000,406.529,0.687,0.829,0.919,7.940,6.870,8.290,9.190
VidIQ,Management,Video Planner,https://vidiq.com,vidiq helps you acquire the tools and knowledge needed to grow your audience faster on youtube and beyond. learn more,4463805.000,4009011.000,4127373.000,245.262,0.889,0.464,0.756,7.933,8.890,4.640,7.560
Watermarkremover,Design,Image Generator,https://www.watermarkremover.io/,"The website provides a service that uses AI technology to remove watermarks from images. The user simply uploads an image, and the AI algorithm automatically detects and removes the watermark. The process is quick and easy, and the final product is a watermark-free image.",4057331.000,4380444.000,4841655.000,202.444,0.909,0.699,0.672,7.932,9.090,6.990,6.720
Clipdrop,Design,Art,https://clipdrop.co,create professional visuals without a photo studio,2453187.000,2827586.000,2948872.000,223.148,0.871,0.707,0.715,7.922,8.710,7.070,7.150
Steve AI,Content Creation,Video Generator,https://steve.ai,steve.ai is an online video making software that helps anyone to create videos and animations in seconds.,1439143.000,1301228.000,1173782.000,350.935,0.801,0.339,0.889,7.900,8.010,3.390,8.890
Artflow ai,Content Creation,Story Teller,https://artflow.ai,create custom avatar from text,183992.000,213433.000,291355.000,454.195,0.660,0.840,0.939,7.896,6.600,8.400,9.390
Palette.fm,Content Creation,Image Editing,https://palette.fm,"a new ai colorizer. colorize anything from old black and white photos 📸, style your artworks 🎨, or give modern images a fresh look 🌶. it's as simple as instagram, free, and no sign-up required!",1103717.000,1254204.000,1314692.000,260.347,0.809,0.696,0.783,7.873,8.090,6.960,7.830
Frase,Content Creation,General Writing,https://frase.io,"frase ai helps you research, write, and optimize high-quality seo content in minutes instead of hours.",816791.000,879130.000,888768.000,320.514,0.769,0.614,0.852,7.867,7.690,6.140,8.520
Jasper AI,Content Creation,Copywriting,https://jasper.ai,"jasper is the best ai writer and ai art generator for teams with over 3,000 5-star reviews. create blog posts, marketing copy, and ai-generated images fast.",8745408.000,7175774.000,6128299.000,239.526,0.925,0.245,0.746,7.854,9.250,2.450,7.460
Murf AI,Productivity,Text To Speech,https://murf.ai,ai voice generator in 20 languages. 120+ realistic text to speech voices to create the perfect ai voiceover. go instantly from text to voice with ease.,4497980.000,4308697.000,4385970.000,217.982,0.897,0.519,0.710,7.844,8.970,5.190,7.100
Luma AI,Design,3D,https://lumalabs.ai,capture the world in lifelike 3d,535758.000,897697.000,1124154.000,233.051,0.798,0.910,0.735,7.840,7.980,9.100,7.350
Lightning AI,Coding,Low-code/no-code,https://lightning.ai,"discover, clone, and publish ml workflow templates as lightning apps. use lightning's open-source framework, platform, and ecosystem to build ml faster.",450081.000,756849.000,802901.000,267.609,0.758,0.874,0.793,7.836,7.580,8.740,7.930
Erase.bg,Content Creation,Image Editing,https://erase.bg,"remove background from images of humans, animals or objects and download high-resolution images for free. you can also edit and resize images as you like.",2063915.000,2363907.000,2986060.000,200.294,0.872,0.792,0.667,7.820,8.720,7.920,6.670
Voicemod,Content Creation,Audio Editing,https://www.voicemod.net/,download now for free voicemod a funny & scary voice changer app. a voice transformer and modifier with effects that makes you sound like a girl or a robot,3941145.000,4582201.000,4158002.000,209.960,0.891,0.589,0.693,7.816,8.910,5.890,6.930
Algolia,Customer Support,Search Engine,https://algolia.com,create ai-powered search & discovery across websites & apps.,1301096.000,1391710.000,1713350.000,222.495,0.833,0.760,0.713,7.777,8.330,7.600,7.130
Runwayml,Content Creation,Video Editing,https://runwayml.com,"explore more than 30+ ai powered creative tools to ideate, generate and edit content like never before.",7770424.000,8350300.000,6931729.000,199.725,0.937,0.429,0.663,7.766,9.370,4.290,6.630
Tweet Hunter,Marketing,Social Media Assistant,https://tweethunter.io,get more results for your business and personal brand on twitter than ever before. powered by ai and automation. try it for free.,827481.000,777389.000,991453.000,262.356,0.784,0.700,0.786,7.764,7.840,7.000,7.860
Softr Studio,Coding,Low-code/no-code,https://softr.io,"softr turns your airtable data into a beautiful and powerful website, web app or client portal. pick a template or start from scratch.",719413.000,789032.000,797392.000,301.214,0.756,0.627,0.839,7.763,7.560,6.270,8.390
Apple Books,Productivity,Text To Speech,https://apple.com,"discover the innovative world of apple and shop everything iphone, ipad, apple watch, mac, and apple tv, plus explore accessories, entertainment, and expert device support.",448495233.000,418015507.000,433480935.000,161.927,0.988,0.506,0.575,7.746,9.880,5.060,5.750
Play.ht,Productivity,Text To Speech,https://play.ht,ai voice generator with 600+ ai voices. generate realistic text to speech voice over online with ai. convert text to audio and download as mp3 & wav files.,2066070.000,2071470.000,2390202.000,209.964,0.857,0.676,0.695,7.741,8.570,6.760,6.950
Uizard,Design,Design Assistant,https://uizard.io/,"design mobile apps, websites, and uis in minutes with uizard, the world's first ai-powered ux/ui design tool! sign up today.",1147950.000,1458895.000,1708061.000,209.559,0.831,0.809,0.692,7.732,8.310,8.090,6.920
Microsoft Designer,Design,Design Assistant,https://designer.microsoft.com,The website provides a service that allows users to create stunning designs in a flash.,4559264.000,5241471.000,5262270.000,171.855,0.920,0.672,0.607,7.700,9.200,6.720,6.070
Coqui,Productivity,Text To Speech,https://coqui.ai,"coqui, freeing speech.",147315.000,278665.000,207986.000,469.744,0.624,0.782,0.949,7.698,6.240,7.820,9.490
Designs AI,Design,Design Assistant,https://designs.ai/,"try designs.ai for free and create anything online in 2 minutes! make a logo, video, social media banner, business card, flyer, mockup and more with ai.",2221839.000,2502670.000,2856383.000,192.467,0.869,0.747,0.650,7.692,8.690,7.470,6.500
Hotpot.ai,Design,Design Assistant,https://hotpot.ai,"hotpot.ai helps you create amazing graphics, pictures, and text. ai tools like ai art generator spark creativity and automate drudgery while easy-to-edit templates empower anyone to create device mockups, social media posts, marketing images, app icons, and other work graphics.",6162938.000,6550998.000,6678817.000,167.589,0.935,0.612,0.600,7.687,9.350,6.120,6.000
Scholarcy,Industry-specific,Research,https://scholarcy.com,scholarcy™ is an online summarizing tool that generates and converts long articles into summary flashcards. sign up free & start summarizing,310017.000,699569.000,574758.000,264.257,0.728,0.884,0.789,7.680,7.280,8.840,7.890
QuickTools by Picsart,Content Creation,Image Editing,https://tools.picsart.com,"creating transparent backgrounds for your images, trimming videos, and converting file types -- it’s all possible with picsart quicktools.",1989487.000,2176093.000,2486977.000,196.963,0.861,0.735,0.657,7.668,8.610,7.350,6.570
Hypotenuse ai,Content Creation,Copywriting,https://hypotenuse.ai/,"turn a few keywords into original, insightful articles, product descriptions and social media copy with ai copywriting—all in just minutes. try it free today.",661443.000,866758.000,906073.000,245.901,0.773,0.769,0.758,7.666,7.730,7.690,7.580
SheetGod,Management,Spreadsheets,https://boloforms.com,web site created using create-react-app,43458.000,24630.000,101791.000,898.517,0.549,0.920,0.995,7.645,5.490,9.200,9.950
Namelix,Industry-specific,Startup,https://namelix.com,"namelix uses artificial intelligence to create a short, brandable business name. search for domain availability, and instantly generate a logo for your new business",2192865.000,2209926.000,2018525.000,233.786,0.846,0.456,0.738,7.638,8.460,4.560,7.380
Word Spinner,Marketing,SEO,https://word-spinner.com,"word spinner is the most advanced ai-based article rewriter and paraphrase tool online, capable of rewriting any words, phrases and sentences!",570696.000,613205.000,405972.000,674.637,0.690,0.250,0.980,7.620,6.900,2.500,9.800
Mem.ai,Productivity,Productivity,https://mem.ai,"The website at https://mem.ai provides a service that allows users to create and manage AI models. The service provides a web-based interface that allows users to create and train models, and provides access to a variety of tools and resources that can be used to improve model performance.",789863.000,503069.000,595778.000,396.768,0.731,0.280,0.915,7.595,7.310,2.800,9.150
Soundful,Entertainment,Music,https://soundful.com,soundful is an ai music generator platform that enables content creators and music artists to create unlimited tracks and monetize music.,422747.000,731159.000,768454.000,235.078,0.750,0.879,0.740,7.589,7.500,8.790,7.400
Detect GPT,Content Creation,General Writing,https://chrome.google.com,The AI service provided by the website is a search engine that allows users to search for and find information on the web.,266399060.000,257227216.000,262404679.000,146.900,0.982,0.536,0.532,7.574,9.820,5.360,5.320
ChatGPT Chrome Extension,Customer Support,Search Engine,https://chrome.google.com,The AI service provided by this website is the Google Chrome browser.,266399060.000,257227216.000,262404679.000,146.900,0.982,0.536,0.532,7.574,9.820,5.360,5.320
Reclaim AI,Productivity,Productivity,https://reclaim.ai,"reclaim creates the perfect schedule for your priorities, saving you up to 40% of your workweek. get started for free.",991978.000,875993.000,823667.000,320.066,0.763,0.354,0.851,7.573,7.630,3.540,8.510
Maket,Industry-specific,Real Estate,https://maket.ai,"our generative design software enables architects, builders & developers to quickly generate thousands of architectural plans instantly.",116322.000,143905.000,179009.000,447.111,0.607,0.820,0.929,7.571,6.070,8.200,9.290
